GSTIN of Jobworker,PARTY NAME ,State,Our Main Challan No.,Our Main Challan Date,Description of Goods Sent,UOM, Quantity Sent , Taxable Value , Tax Rate , Total ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,1,03.04.2023,Stand for 500 Lit Tank,EA, 1.00 ," 6,000.00 "," 1,080.00 "," 7,080.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,1,03.04.2023,Flow Control Valve ,EA, 2.00 ," 1,000.00 ", 180.00 ," 1,180.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,1,03.04.2023,"72"" SEIVE FOR SHIFTER",EA, 1.00 ," 30,000.00 "," 5,400.00 "," 35,400.00 ",,
29AAACB7461R2ZY,BIOCON LIMITED ,Bengaluru,7,07.04.2023,GASKET SQU 12MMX12MM SIW,MTRS, 6.50 , 845.00 , 152.00 , 997.00 ,,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Hepa Filter,EA, 1.00 ," 5,200.00 ", 936.00 ," 6,136.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,1” Hallar coated flange ,EA, 1.00 ," 2,100.00 ", 378.00 ," 2,478.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Washer for stud ,EA, 16.00 ," 1,520.00 ", 274.00 ," 1,794.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Teflon stopper ,EA, 1.00 , 250.00 , 45.00 , 295.00 ,,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Loop holder ,EA, 2.00 , 900.00 , 162.00 ," 1,062.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Selec make cyclic timer ,EA, 1.00 , 750.00 , 135.00 , 885.00 ,,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,8,04.04.2023,Pressuer regulator ,EA, 2.00 , 690.00 , 124.00 , 814.00 ,,
37AABCL1170C1Z0,Laurus Labs Limited - Unit 1,Andra Pradesh,10,05.04.2023,V TOP FILE,EA, 1.00 , -   , -   , -   ,,
27AAACU0974C1ZJ,Universal Chemicals & Industries Pv Ltd - Agro,MAHARASTRA,12,05.04.2023,2” hose pipe,MTRS, 10.00 ," 4,030.00 ", 725.00 ," 4,755.00 ",,
27AAACU0974C1ZJ,Universal Chemicals & Industries Pv Ltd - Agro,MAHARASTRA,12,05.04.2023,9” hose clip ,EA, 2.00 , 174.00 , 31.00 , 205.00 ,,
24AABCF1120G1ZF,FIRMENICH AROMATICS PROD.(I) Pvt. Ltd.,GUJARAT,19,06.04.2023, Flange Blind RF ASA 150 50 NB SS 316L,EA, 1.00 ," 1,140.00 ", 205.20 ," 1,345.00 ",,
24AABCF1120G1ZF,FIRMENICH AROMATICS PROD.(I) Pvt. Ltd.,GUJARAT,19,06.04.2023," Triclover Ferrule 2"" OD 3A S6L",EA, 1.00 , 126.00 , 22.68 , 149.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,"Serrated Nozzle 2"" Triclover End S6L ",EA, 8.00 ," 3,040.00 ", -   ," 3,040.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,"  Hose Clip 3"" - SS 304 ",EA, 8.00 , 248.00 , -   , 248.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,"Triclover Clamp 13MHM 2"" OD 3A S04 ",EA, 8.00 ," 1,656.00 ", -   ," 1,656.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,"  Triclover Silicone Gasket 2"" OD 3A ",EA, 8.00 , 152.00 , -   , 152.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023, Pipe Square ERW 60mm x 60mm 10swg S16 ,MTRS, 3.00 ," 3,750.00 ", -   ," 3,750.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,   Filler Wire 14 Swg SS 316 ,KG, 1.00 , 410.00 , -   , 410.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023, Gasket Sheet 1000 mm 1000 mm 3T SW ,EA, 3.00 ," 3,750.00 ", -   ," 3,750.00 ",,
